Groupby on attribute values with respect to target attribute : 


Group by on Attribute : Pclass
   Pclass  count  Survived
0       1     80         0
1       1    136         1
2       2     97         0
3       2     87         1
4       3    372         0
5       3    119         1

 

 
Group by on Attribute : Sex
Dictionary Mapping : {'male': 0, 'female': 1}

   Sex  count  Survived
0    0    468         0
1    0    109         1
2    1     81         0
3    1    233         1

 

 
Group by on Attribute : Age
       Age  count  Survived
0     0.42      1         1
1     0.67      1         1
2     0.75      2         1
3     0.83      2         1
4     0.92      1         1
5     1.00      2         0
6     1.00      5         1
7     2.00      7         0
8     2.00      3         1
9     3.00      1         0
10    3.00      5         1
11    4.00      3         0
12    4.00      7         1
13    5.00      4         1
14    6.00      1         0
15    6.00      2         1
16    7.00      2         0
17    7.00      1         1
18    8.00      2         0
19    8.00      2         1
20    9.00      6         0
21    9.00      2         1
22   10.00      2         0
23   11.00      3         0
24   11.00      1         1
25   12.00      1         1
26   13.00      2         1
27   14.00      3         0
28   14.00      3         1
29   14.50      1         0
30   15.00      1         0
31   15.00      4         1
32   16.00     11         0
33   16.00      6         1
34   17.00      7         0
35   17.00      6         1
36   18.00     17         0
37   18.00      9         1
38   19.00     16         0
39   19.00      9         1
40   20.00     12         0
41   20.00      3         1
42   20.50      1         0
43   21.00     19         0
44   21.00      5         1
45   22.00     16         0
46   22.00     11         1
47   23.00     10         0
48   23.00      5         1
49   23.50      1         0
50   24.00     15         0
51   24.00     15         1
52   24.50      1         0
53   25.00     17         0
54   25.00      6         1
55   26.00     12         0
56   26.00      6         1
57   27.00      7         0
58   27.00     11         1
59   28.00    143         0
60   28.00     59         1
61   28.50      2         0
62   29.00     12         0
63   29.00      8         1
64   30.00     15         0
65   30.00     10         1
66   30.50      2         0
67   31.00      9         0
68   31.00      8         1
69   32.00      9         0
70   32.00      9         1
71   32.50      1         0
72   32.50      1         1
73   33.00      9         0
74   33.00      6         1
75   34.00      9         0
76   34.00      6         1
77   34.50      1         0
78   35.00      7         0
79   35.00     11         1
80   36.00     11         0
81   36.00     11         1
82   36.50      1         0
83   37.00      5         0
84   37.00      1         1
85   38.00      6         0
86   38.00      5         1
87   39.00      9         0
88   39.00      5         1
89   40.00      7         0
90   40.00      6         1
91   40.50      2         0
92   41.00      4         0
93   41.00      2         1
94   42.00      7         0
95   42.00      6         1
96   43.00      4         0
97   43.00      1         1
98   44.00      6         0
99   44.00      3         1
100  45.00      7         0
101  45.00      5         1
102  45.50      2         0
103  46.00      3         0
104  47.00      8         0
105  47.00      1         1
106  48.00      3         0
107  48.00      6         1
108  49.00      2         0
109  49.00      4         1
110  50.00      5         0
111  50.00      5         1
112  51.00      5         0
113  51.00      2         1
114  52.00      3         0
115  52.00      3         1
116  53.00      1         1
117  54.00      5         0
118  54.00      3         1
119  55.00      1         0
120  55.00      1         1
121  55.50      1         0
122  56.00      2         0
123  56.00      2         1
124  57.00      2         0
125  58.00      2         0
126  58.00      3         1
127  59.00      2         0
128  60.00      2         0
129  60.00      2         1
130  61.00      3         0
131  62.00      2         0
132  62.00      2         1
133  63.00      2         1
134  64.00      2         0
135  65.00      3         0
136  66.00      1         0
137  70.00      2         0
138  70.50      1         0
139  71.00      2         0
140  74.00      1         0
141  80.00      1         1

 

 
Group by on Attribute : SibSp
    SibSp  count  Survived
0       0    398         0
1       0    210         1
2       1     97         0
3       1    112         1
4       2     15         0
5       2     13         1
6       3     12         0
7       3      4         1
8       4     15         0
9       4      3         1
10      5      5         0
11      8      7         0

 

 
Group by on Attribute : Parch
    Parch  count  Survived
0       0    445         0
1       0    233         1
2       1     53         0
3       1     65         1
4       2     40         0
5       2     40         1
6       3      2         0
7       3      3         1
8       4      4         0
9       5      4         0
10      5      1         1
11      6      1         0

 

 
Group by on Attribute : Embarked
Dictionary Mapping : {'S': 1, 'C': 2, 'Q': 3}

   Embarked  count  Survived
0         1    427         0
1         1    219         1
2         2     75         0
3         2     93         1
4         3     47         0
5         3     30         1

 

 
Group by on Attribute : Fare
         Fare  count  Survived
0      0.0000     14         0
1      0.0000      1         1
2      4.0125      1         0
3      5.0000      1         0
4      6.2375      1         0
5      6.4375      1         0
6      6.4500      1         0
7      6.4958      2         0
8      6.7500      2         0
9      6.8583      1         0
10     6.9500      1         0
11     6.9750      1         0
12     6.9750      1         1
13     7.0458      1         0
14     7.0500      7         0
15     7.0542      2         0
16     7.1250      4         0
17     7.1417      1         1
18     7.2250      9         0
19     7.2250      3         1
20     7.2292     11         0
21     7.2292      4         1
22     7.2500     12         0
23     7.2500      1         1
24     7.3125      1         0
25     7.4958      2         0
26     7.4958      1         1
27     7.5208      1         0
28     7.5500      3         0
29     7.5500      1         1
30     7.6292      1         0
31     7.6500      3         0
32     7.6500      1         1
33     7.7250      1         0
34     7.7292      1         0
35     7.7333      2         0
36     7.7333      2         1
37     7.7375      1         0
38     7.7375      1         1
39     7.7417      1         0
40     7.7500     22         0
41     7.7500     12         1
42     7.7750     13         0
43     7.7750      3         1
44     7.7875      1         1
45     7.7958      4         0
46     7.7958      2         1
47     7.8000      1         0
48     7.8292      1         0
49     7.8292      1         1
50     7.8542     10         0
51     7.8542      3         1
52     7.8750      1         0
53     7.8792      4         1
54     7.8875      1         0
55     7.8958     37         0
56     7.8958      1         1
57     7.9250     10         0
58     7.9250      8         1
